Player,Team,Date,Type,Note
Kent Bazemore\bazemke01,Atlanta Hawks,Sun Mar 11 2018,Knee,Bazemore suffered a bone bruise in his right knee and is expected to miss the remainder of the season.
DeAndre' Bembry\bembrde01,Atlanta Hawks,Sun Feb 25 2018,Abdominal,Bembry has been sidelined with an abdominal strain and it is unclear when he will return to the lineup.
Malcolm Delaney\delanma01,Atlanta Hawks,Sun Mar 4 2018,Ankle,Delaney has been sidelined with a left ankle sprain and it is unknown when he will draw back into the lineup.
Jaylen Brown\brownja02,Boston Celtics,Thu Mar 8 2018,Concussion,Brown is working his way through concussion protocol but is expected to return to the lineup by the end of March.
Gordon Hayward\haywago01,Boston Celtics,Tue Oct 17 2017,Ankle,Hayward is expected to miss the remainder of the season after having surgery to repair a dislocated left ankle and fractured tibia.
Kyrie Irving\irvinky01,Boston Celtics,Sun Mar 11 2018,Knee,Irving is sidelined due to left knee soreness and will not return to action during the team's upcoming road trip.
Marcus Smart\smartma01,Boston Celtics,Mon Mar 12 2018,Thumb,Smart will miss six-to-eight weeks while recovering from surgery to repair a torn tendon in his right thumb.
Dante Cunningham\cunnida01,Brooklyn Nets,Sat Mar 17 2018,Concussion,Cunningham is working his way through the league's concussion protocol and it is uncertain if he will return Wednesday against the Hornets.
Jeremy Lin\linje01,Brooklyn Nets,Wed Oct 18 2017,Knee,Lin ruptured the patellar tendon in his right knee and will likely miss the remainder of the season.
Nicolas Batum\batumni01,Charlotte Hornets,Sat Mar 17 2018,Achilles,Batum was held out of the last game with chronic tendinitis in his left Achilles and it is unlikely he will be available for Wednesday's contest against the Nets.
Michael Carter-Williams\cartemi01,Charlotte Hornets,Mon Mar 5 2018,Shoulder,Carter-Williams had surgery to repair tear in his left shoulder and will miss the remainder of the season.
Cody Zeller\zelleco01,Charlotte Hornets,Sat Mar 10 2018,Knee,Zeller sat out his fifth-straight game with a left knee injury and it is unclear if he will play against the Nets on Wednesday.
Kris Dunn\dunnkr01,Chicago Bulls,Thu Mar 15 2018,Toe,Dunn suffered a sprained big toe on his right foot and there is no timetable for return.
Zach LaVine\lavinza01,Chicago Bulls,Fri Mar 16 2018,Knee,LaVine has missed the past two games with tendinitis in his knee and it is unknown if he will be available against the Nuggets on Wednesday.
Rodney Hood\hoodro01,Cleveland Cavaliers,Sat Mar 17 2018,Back,Hood sat out his third-straight game with a back injury and it is unknown if he will play Wednesday against the Raptors.
Kyle Korver\korveky01,Cleveland Cavaliers,Tue Mar 20 2018,Personal,Korver will not suit up against the Raptors on Wednesday due to a death in the family.
Larry Nance Jr.\nancela02,Cleveland Cavaliers,Wed Mar 14 2018,Hamstring,Nance Jr. has been held out of the previous three games with tightness in his right hamstring and will not return for Wednesday's matchup against the Raptors.
Tristan Thompson\thomptr01,Cleveland Cavaliers,Sun Mar 4 2018,Ankle,Thompson sustained a right ankle sprain and it is undetermined if he will return to the lineup against the Raptors on Wednesday.
Seth Curry\curryse01,Dallas Mavericks,Sat Oct 7 2017,Leg,Curry will have surgery on his left tibia and is expected to miss the remainder of the season.
Wesley Matthews\matthwe02,Dallas Mavericks,Sun Mar 11 2018,Leg,Matthews is expected to miss the remainder of the season due to a stress fracture in his right leg.
